"old";"new"
"Xã Thanh Đa";"Thanh Da"
"Xã Trạch Mỹ Lộc";"Trach My Loc"
"Xã Tam Thuấn";"Tam Thuan"
"Xã Phụng Thượng";"Phung Thuong"
"Xã Hiệp Thuận";"Hiep Thuan"
"Xã Liên Hiệp";"Lien Hiep"
"Thị trấn Phùng";"Phung"
"Xã Trung Châu";"Trung Chau"
"Xã Thọ An";"Tho An"
"Xã Thọ Xuân";"Tho Xuan"
"Xã Hồng Hà";"Hong Ha"
"Xã Liên Hồng";"Lien Hong"
"Xã Hạ Mỗ";"Ha Mo"
"Xã Liên Trung";"Lien Trung"
"Xã Phương Đình";"Phuong Dinh"
"Xã Thượng Mỗ";"Thuong Mo"
"Xã Đan Phượng";"Dan Phuong"
"Xã Tân Hội";"Tan Hoi"
"Xã Tân Lập";"Tan Lap"
"Xã Đồng Tháp";"Dong Thap"
"Xã Song Phượng";"Song Phuong"
"Thị trấn Liên Quan";"Lien Quan"
"Xã Đại Đồng";"Dai Dong"
"Xã Cẩm Yên";"Cam Yen"
"Xã Lại Thượng";"Lai Thuong"
"Xã Phú Kim";"Phu Kim"
"Xã Hương Ngải";"Huong Ngai"
"Xã Canh Nậu";"Canh Nau"
"Xã Dị Nậu";"Di Nau"
"Xã Bình Yên";"Binh Yen"
"Xã Kim Quan";"Kim Quan"
"Xã Chàng Sơn";"Chang Son"
"Xã Thạch Xá";"Thach Xa"
"Xã Hữu Bằng";"Huu Bang"
"Xã Phùng Xá";"Phung Xa"
"Xã Tân Xã";"Tan Xa"
"Xã Cần Kiệm";"Can Kiem"
"Xã Bình Phú";"Binh Phu"
"Xã Hạ Bằng";"Ha Bang"
"Xã Đồng Trúc";"Dong Truc"
"Xã Thạch Hoà";"Thach Hoa"
"Xã Yên Bình";"Yen Binh"
"Xã Yên Trung";"Yen Trung"
"Xã Tiến Xuân";"Tien Xuan"
"Thị trấn Trạm Trôi";"Tram Troi"
"Xã Đức Thượng";"Duc Thuong"
"Xã Minh Khai";"Minh Khai"
"Xã Dương Liễu";"Duong Lieu"
"Xã Đức Giang";"Duc Giang"
"Xã Di Trạch";"Di Trach"
"Xã Cát Quế";"Cat Que"
"Xã Sơn Đồng";"Son Dong"
"Xã Yên Sở";"Yen So"
"Xã Đắc Sở";"Dac So"
"Xã Vân Canh";"Van Canh"
"Xã Tiền Yên";"Tien Yen"
"Xã Song Phương";"Song Phuong"
"Xã Lại Yên";"Lai Yen"
"Xã An Khánh";"An Khanh"
"Xã Vân Côn";"Van Con"
"Xã An Thượng";"An Thuong"
"Xã La Phù";"La Phu"
"Xã Đông La";"Dong La"
"Thị trấn Quốc Oai";"Quoc Oai"
"Xã Phú Mãn";"Phu Man"
"Xã Phú Cát";"Phu Cat"
"Xã Hòa Thạch";"Hoa Thach"
"Xã Tuyết Nghĩa";"Tuyet Nghia"
"Xã Đông Yên";"Dong Yen"
"Xã Liệp Tuyết";"Liep Tuyet"
"Xã Ngọc Liệp";"Ngoc Liep"
"Xã Ngọc Mỹ";"Ngoc My"
"Xã Cấn Hữu";"Can Huu"
"Xã Nghĩa Hương";"Nghia Huong"
"Xã Thạch Thán";"Thach Than"
"Xã Đồng Quang";"Dong Quang"
"Xã Sài Sơn";"Sai Son"
"Xã Yên Sơn";"Yen Son"
"Xã Phượng Cách";"Phuong Cach"
"Xã Tân Phú";"Tan Phu"
"Xã Đại Thành";"Dai Thanh"
"Xã Tân Hòa";"Tan Hoa"
"Xã Cộng Hòa";"Cong Hoa"
"Thị trấn Chúc Sơn";"Chuc Son"
"Thị trấn Xuân Mai";"Xuan Mai"
"Xã Phụng Châu";"Phung Chau"
"Xã Đông Sơn";"Dong Son"
"Xã Đông Phương Yên";"Dong Phuong Yen"
"Xã Phú Nghĩa";"Phu Nghia"
"Xã Tiên Phương";"Tien Phuong"
"Xã Ngọc Hòa";"Ngoc Hoa"
"Xã Trường Yên";"Truong Yen"
"Xã Thủy Xuân Tiên";"Thuy Xuan Tien"
"Xã Thanh Bình";"Thanh Binh"
"Xã Trung Hòa";"Trung Hoa"
"Xã Thụy Hương";"Thuy Huong"
"Xã Đại Yên";"Dai Yen"
"Xã Tân Tiến";"Tan Tien"
"Xã Nam Phương Tiến";"Nam Phuong Tien"
"Xã Lam Điền";"Lam Dien"
"Xã Tốt Động";"Tot Dong"
"Xã Hợp Đồng";"Hop Dong"
"Xã Hoàng Văn Thụ";"Hoang Van Thu"
"Xã Hoàng Diệu";"Hoang Dieu"
"Xã Hữu Văn";"Huu Van"
"Xã Quảng Bị";"Quang Bi"
"Xã Mỹ Lương";"My Luong"
"Xã Thượng Vực";"Thuong Vuc"
"Xã Trần Phú";"Tran Phu"
"Xã Hồng Phong";"Hong Phong"
"Xã Đồng Phú";"Dong Phu"
"Xã Văn Võ";"Van Vo"
"Xã Đồng Lạc";"Dong Lac"
"Xã Hòa Chính";"Hoa Chinh"
"Xã Phú Nam An";"Phu Nam An"
"Thị trấn Kim Bài";"Kim Bai"
"Xã Cự Khê";"Cu Khe"
"Xã Bích Hòa";"Bich Hoa"
"Xã Cao Viên";"Cao Vien"
